industry,survival_3yr_pct,survival_4yr_pct
"Agriculture, Forestry and Fishing",79.8,74.9
"Rental, Hiring and Real Estate Services",77.9,73
Health Care and Social Assistance,76.8,71.5
Mining,75.9,70.9
"Electricity, Gas, Water and Waste Services",72.7,66.9
Manufacturing,73.1,66.8
Financial and Insurance Services,72.3,66.5
Wholesale Trade,70,63.9
"Professional, Scientific and Technical Services",68.9,62.5
Education and Training,68.1,61.6
Other Services,68.2,61.3
Construction,67.4,60.9
Arts and Recreation Services,66.5,59.5
Retail Trade,66.7,59
Information Media and Telecommunications,65.5,58.9
Public Administration and Safety,63.8,57.2
Administrative and Support Services,62.2,55.3
Accommodation and Food Services,62.5,54.7
"Transport, Postal and Warehousing",55.5,48.5
